עוֹכֵר,מדליח/ מזהם/מצלול לעכור /משחית/ מחבל/ ממית צרה
עוֹלֵב,מעליב/ גורם לעלבון    
עוֹלָה,קורבן (אברהם רצה להעלות את יצחק לעולה)  
עוֹלָל,תינוק/ ילד-רך  
עולים בְּקָנֶה אֶחָד,מתאימים זה לזה/ אינם סותרים אחד את השני 
עוֹצֶר,מושל/ שליט
עוֹרְבָא פָּרַח,עורב פורח/ כינוי לדבר שאין בו ממש/ הבל וריק
עוֹרֵג,נכסף/ כמה/ משתוקק למשהו 
עוֹז,כוח/ גבורה/ אומץ או מחסה/ מבצר/ מגן
עֲזוּבָה, שיממון/ חורבן/ הזנחה/
עזוז,גיבור/ אמיץ/ חזק
עַזּוּת,חוצפה העזה/ גסות/ עזות-מצח או חריפות
עָטָה,לבש/ התעטף/ התכסה  
בְּעֶטְי,בעצתו של/ בגלל/ באשמת  
עֲטָרָה,כתר/ נזר  
עִיּ,תל חורבות	
עַיִר,חמור צעיר/ בן-חמור
לערות/ עירה,לשפוך נוזל (לכן עירוי דם זה שמחדירים דם)
עַכָּבָה,מניעה/ עיכוב/ מעצור או מעצור נפשי/ תסביך המונע מהאדם להגיב חופשי	 
כל עכבה לטובה,אין להצטער על עיכוב/ כי הרי ייתכן שתצמח ממנו טובה 
עַכּוּמִי,פגני/ אלילי/ נוכרי 
עָכוּר,דלוח/ בלתי צלול/ מלוכלך או אינו בהיר/ קודר
עֶכֶן,עכנאי/ נחש
עִילֵּג,כבד-פה/ מגמגם/ מדבר בכבדות  או אשמה
עִילָּה,סיבה/ תואנה או אמתלה לעשות דבר מה/ גורם
