קָלִיבֶּר,הקוטר הפנימי של צינור חלול (משתמשים בהקשר של כלי נשק)
קָלִיגְרַפְיָה,כתיבה תמה/ כתב יד יפה/ אומנות הכתיבה
קְלִינִי,רפואי •קליניקה- מרפאה
קליעה,יצירת מקלעת/ קשירה של חוטים/ ענפים או שיער לגוש
קְלִישָׁאָה,ביטוי שבלוני ושחוק/ ביטוי נדוש (כדורגל משחקים 90 דקות/ והטבלה לא משקרת)
קַלַל,מבריק/ נוצץ/ נחושת מצוחצחת
קלסיפיקציה,מיון
קְלַסְתֵּר,תווי פנים/ צורת הפנים •קלסתרון- מכשיר לעיצוב תווי פנים של פושע לפי עדות/ ספר עם תמונות פנים של פושעים
קֶלַע,מיידה אבנים קטנות/ רוגטקה (מה שדוד השתמש נגד גוליית) •נתון בכף הקלע- מתלבט
קְלֶפְּטוֹמָן,בעל נטייה לגנוב שלא לצורך/ סחבן אובססיבי
קִלְשׁוֹן,כלי חקלאי להרמת ערימות של חציר.  
קלקל את השורה,לא נהג בצדק/ הרס את הצורה האחידה
קָם,שונא/ צורר/ אויב
קַמָּאִי,ראשוני/ קדמון/ היולי/ בראשיתי
קָמָה,התבואה לפני הקציר 
קמה בו רוח,נתמלא אומץ
קָמוּץ,סגור/ מהודק/ קפוץ (כמו אגרוף) •נופף באגרופים קמוצים- זעם/ רגז •קמץ אגרופיו- נערך להלחם •קמץ ידו/קפץ ידו- התקמצן
קָמוּר/מקומר,בצורת קשת. כמו גב של חתול שעושה פוזות. קִמּוּר- פיתול/ כמו בגוף נשי. 
קָמַל,התייבש/ נבל
קָמִין,אח לחימום/ תנור/ כירה/ כבשן
קִמְעָה,מעט/ טיפה/ רגע
קִמְעוֹנַאי,מוכר ליחידים (כמו המוכר בפיצוציה/ שמוכר לקונים יחידים). בניגוד לסיטונאי- שמוכר בכמות גדולה (זה שמוכר בדרך כלל לחנויות עצמן/ המשווק של הסחורה לחנויות)
קנה אחיזה,תפס/ נאחז
קָנָה לוֹ [לְעַצְמוֹ] שֵׁם,התפרסם
קנה במשיכה,גנב/ "סחב"
קנה שְׁבִיתָה,התיישב/ נאחז במקום
קנאי,דבק ברעיון מסויים בכל מאודו
קְנוּנְיָה,קשירת קשר/ הסכם חשאי שנעשה מאחורי גבו של מישהו/ קונספירציה
קְנוֹקֶנֶת,גבעול דק המאפשר לצמח להאחז בקיר
קִנְטוּר,הקנטה/ הצקה/ הרגזה
