שׂכיה,קישוט/דבר חן/משכית •שְׂכִיּוֹת חֶמְדָּה  - פריט חן קטן וחמוד
שָׁכִיחַ,מצוי/נפוץ/רגיל
שְׂכַלְתָּן,רציונליסט/אדם המתבסס על השכל וההיגיון ולא על הרגש
שֵׁכָר,בירה/משקה חריף
שֶׁכֶם אחד,כוחות משותפים
שכתוב,כתיבה מחדש/תיקון/הגהה
כְּשֶׁלֶג דְּאֶשְׁתָּקַד,לא רלוונטי/עבר זמנו ולא נחשב עוד (כמו השלג שירד בשנה שעברה/ונמס ואינו קיים יותר)
שָׁלָה,משה/הוציא מהמים/דלה/דג
שַׁלְהֶבֶת,להבה/לשון אש
שִׁלְהֵי,סוף/הימים האחרונים/גמר 
שלווה סְטוֹאִית,שלווה שלא ניתן להרוס. על גבול האדישות סטואיות- שליטה עצמית/איפוק קיצוני. (כמו סטואי גריפין מאיש משפחה/שתמיד מרוסן ומאופק)
שֶׁלַח,חרב קצרה/פגיון/שבריה
שלח ידו,•לקח משהו שאסור/גנב (שלח ידו במעל) •עסק במשהו (מִשְׁלַח יָד - מקצוע)
שלח ידו בנפשו,התאבד/שם קץ לחייו
שלח לחמך על פני המים (כי ברוות הימים תמצאנו),כדאי לך להשקיע עכשיו/כי למרות שאינך רואה זאת כעת/זה ישתלם לך בעתיד.
שַׁלְחוּפָה,צב (כך קוראים גם בערבית לצב- סלחופה)
שָׁלִישׁ,תפקיד צבאי ארגוני
שֹלמה,שמלה
שלמונים,שוחד/בקשיש/דמי לא יחרץ (דמים=כסף/כדי שלא יחרצו עליכם את הדין)
שלף,שדה שנקצר וטרם נחרש
שלק,בישל במים רותחים/חלט •בֵּיצָה שְׁלוּקָה  - ביצה קשה (שבישלו במים חמים)
שַׁלְשֶׁלאות,שרשראות של ברזל •נתון בשלשלאות- קשור/כבול
שם אפר על ראשו,התאבל/חגר שק
שָׂם [הִנִּיח] אֶת כַּסְפּוֹ עַל קֶרֶן הַצְּבִי,השקיע בהשקעה לא בטוחה/בהימור לא בטוח. (תנסו אתם לשים מבעות של קרן של צבי)
שֵׁם דָּבָר,מפורסם וידוע/משובח/בעל שם
שם דברים בפיו,הכתיב לו מה לומר
שָׂם לְאַל,ביטל/שלל
