לְתִפְאֶרֶת הַמְּלִיצָה,ליתר יופי בסגנון/לשם הצורה לא לשם התוכן/מן השפה ולחוץ	
מָלַק,התיז/ ערף את ראשו של עוף
חשב ושקל בדבר, עיין והחליט, התיישב בדעתו
נִמְלַךְ, •נִמְלַךְ  ב... (מישהו) - התייעץ בפלוני, שאל בעצתו
מַלְמָד,מַרְדֵּעַ/מקל ארוך ובסופו דורבן/המשמש לכיוון וזירוז הבהמה החורשת
מַלְקוֹשׁ,הגשם האחרון  
מלקט,פינצטה/מלקטת
מַמְאִיר,עוקץ/צורב/דוקר
מַחֲלָה מַמְאֶרֶת,מחלה קשה שאין לה מרפא
מַמְּגוּרָה,אסם תבואה/אַמְבָּר
מֶמוֹרַנְדּוּם,•מכתב הבא לפרט ולהזכיר עניין מסוים/מיזכר •אגרת דיפלומטית המביעה את עמדת הממשלה בשאלה מסוימת
ממזגה,מסבאה/בית-מרזח/פאב
מְמֻכָּן (ממוכן),מצויד במכונות/שהעבודה מבוצעת במכונות ולא ביד
מֶמֶל,מפרכה/האבן אשר כותשת ופורכת את הזיתים בבית הבד
מִמְסָרָה,גיר/מתקן להעברת (מסירת) תנועה מציר אל ציר
מְמֹרָט (ממורט), •מצוחצח/מלוטש •שחוק/בלוי ומשופשף שנמרטו ונתלשו שערותיו
לא מנה ולא מקצתה,אף שמץ מן הדבר אינו נכון/אין כל קשר ושייכות לדבר, להד"ם
מְנַאֵץ,מגדף/מחרף/מקלל
מִנְבָּטָה,מקום שזורעים בו זרעים בכדי שינבטו ומשם יועברו לשתילה
מְנוֹד רֹאשׁ,הנעת הראש לאות השתתפות בצער או להבעת בוז או ספקנות
מנור,מוט ארוך שמלפפים סביבו חוטים/בתהליך האריגה,על גוליית נאמר שארוכה חניתו כמנור אורגים 
מִנְחָת,מקום לנחיתת מטוסים
מִנֵּיהּ וּבֵיהּ,לאלתר/מייד/עכשיו
מִן הַמִּנְיָן,בעל זכויות מלאות
שֶׁלֹּא מִן הַמִּנְיָן,לא נחשב בספירה (מניין)/לא רגיל/לא כמו כולם
מָנִיפֶסְט,מִנְשָׁר/הצהרה ממשלתית/גילוי דעת פוליטי
